location_id,kind,bank_id,district_id,display_name,lat,lon,area_type,source,activity_index,is_24hr,cash_dispensing,notes
LOC-00001,BRANCH,BNK-006,MH-PUN,Bank Of India – Shirur,18.825007,74.374518,urban,osm,0.57,false,true,
LOC-00002,BRANCH,BNK-004,MH-PUN,Canara Bank – Shirur,18.825246,74.375635,urban,osm,0.76,false,true,
LOC-00003,BRANCH,BNK-014,MH-AHM,Icici Bank Shirur - Branch & Atm – Ahmednagar,18.827143,74.374874,semi_urban,osm,0.68,false,true,
LOC-00004,BRANCH,BNK-023,MH-AHM,Idbi Bank – Ahmednagar,18.826026,74.378868,semi_urban,osm,0.43,false,true,
LOC-00005,ATM,BNK-001,HR-PAN,State Bank Of India – Panchkula,30.715792,76.843234,semi_urban,osm,0.57,true,true,
LOC-00006,BRANCH,BNK-002,UP-BAS,Punjab National Bank – Amorha Khas,26.757489,82.395280,rural,osm,0.4,false,true,
LOC-00007,BRANCH,BNK-013,UP-SUL,Bank Branch – Sultanpur,26.321155,81.980433,rural,osm,0.2,false,true,
LOC-00008,BRANCH,BNK-002,UP-SUL,Punjab National Bank – Sultanpur,26.260791,82.068019,rural,osm,0.41,false,true,
LOC-00009,BRANCH,BNK-041,HR-PAN,Utkarsh Small Finance Bank – Panchkula,30.691920,76.851305,semi_urban,osm,0.51,false,true,
LOC-00010,BRANCH,BNK-013,HR-PAN,Hdfc Bank – Panchkula,30.691095,76.851820,urban,osm,0.72,false,true,
LOC-00011,BRANCH,BNK-006,HR-PAN,Central Bank Of India – Panchkula,30.691668,76.851461,urban,osm,0.68,false,true,
LOC-00012,BRANCH,BNK-015,HR-PAN,Axis Bank – Panchkula,30.691597,76.851505,semi_urban,osm,0.59,false,true,
LOC-00013,BRANCH,BNK-004,HR-PAN,Canara Bank – Panchkula,30.691393,76.851639,rural,osm,0.37,false,true,
LOC-00014,BRANCH,BNK-001,HR-PAN,State Bank Of India – Panchkula,30.691253,76.851725,semi_urban,osm,0.59,false,true,
LOC-00015,BRANCH,BNK-002,HR-PAN,Punjab National Bank – Panchkula,30.687625,76.850512,urban,osm,0.82,false,true,
LOC-00016,ATM,BNK-013,HR-PAN,Hdfc Bank – Panchkula,30.686456,76.853651,urban,osm,0.84,true,true,
LOC-00017,BRANCH,BNK-004,HR-PAN,Canara Bank – Panchkula,30.690477,76.861023,semi_urban,osm,0.73,false,true,
