district_id,district_name,state_code,state_name,division,headquarters,approx_population_2011,area_sq_km,urbanisation_level,cybercrime_complaint_weight
HR-AMB,Ambala,HR,Haryana,Ambala,Ambala,1136784,1574,medium,0.0388
HR-BHI,Bhiwani,HR,Haryana,Rohtak,Bhiwani,1126833,3432,low,0.0384
HR-CHA,Charkhi Dadri,HR,Haryana,Rohtak,Charkhi Dadri,502276,1370,low,0.0171
HR-FAR,Faridabad,HR,Haryana,Faridabad,Faridabad,1798954,742,high,0.0982
HR-FAT,Fatehabad,HR,Haryana,Hisar,Fatehabad,941522,2538,low,0.0321
HR-GUR,Gurugram,HR,Haryana,Gurugram,Gurugram,1514085,1253,high,0.1293
HR-HIS,Hisar,HR,Haryana,Hisar,Hisar,1112815,2633,medium,0.038
HR-JHA,Jhajjar,HR,Haryana,Rohtak,Jhajjar,956907,1834,low,0.0326
HR-JIN,Jind,HR,Haryana,Hisar,Jind,1332042,2702,low,0.0454
HR-KAI,Kaithal,HR,Haryana,Karnal,Kaithal,1072861,2317,low,0.0366
HR-KAR,Karnal,HR,Haryana,Karnal,Karnal,1506323,2520,medium,0.0822
HR-KUR,Kurukshetra,HR,Haryana,Ambala,Kurukshetra,964231,1530,medium,0.0329
HR-MAH,Mahendragarh,HR,Haryana,Gurugram,Narnaul,921680,1859,low,0.0314
HR-NUH,Nuh,HR,Haryana,Faridabad,Nuh,1089406,1874,low,0.0372
HR-PAL,Palwal,HR,Haryana,Faridabad,Palwal,1040493,1359,low,0.0355
HR-PAN,Panchkula,HR,Haryana,Ambala,Panchkula,558890,898,medium,0.0305
HR-PAT,Panipat,HR,Haryana,Karnal,Panipat,1202811,1268,medium,0.041
HR-REW,Rewari,HR,Haryana,Gurugram,Rewari,896129,1582,low,0.0306
HR-ROH,Rohtak,HR,Haryana,Rohtak,Rohtak,1058683,1745,medium,0.0361
HR-SIR,Sirsa,HR,Haryana,Hisar,Sirsa,1295114,4277,low,0.0442
HR-SON,Sonipat,HR,Haryana,Rohtak,Sonipat,1480080,2122,medium,0.0505
HR-YAM,Yamunanagar,HR,Haryana,Ambala,Yamunanagar,1214162,1768,medium,0.0414
JH-BOK,Bokaro,JH,Jharkhand,North Chotanagpur,Bokaro Steel City,2062330,2883,medium,0.0777
JH-CHA,Chatra,JH,Jharkhand,North Chotanagpur,Chatra,1042886,3718,low,0.0246
JH-DEO,Deoghar,JH,Jharkhand,Santhal Pargana,Deoghar,1492073,2477,low,0.0562
JH-DHA,Dhanbad,JH,Jharkhand,North Chotanagpur,Dhanbad,2684487,2040,high,0.1011
JH-DUM,Dumka,JH,Jharkhand,Santhal Pargana,Dumka,1321442,3761,low,0.0311
JH-ESI,East Singhbhum,JH,Jharkhand,Kolhan,Jamshedpur,2293919,3562,medium,0.0864
JH-GAR,Garhwa,JH,Jharkhand,Palamu,Garhwa,1322784,4093,low,0.0311
JH-GIR,Giridih,JH,Jharkhand,North Chotanagpur,Giridih,2445474,4854,low,0.0576
JH-GOD,Godda,JH,Jharkhand,Santhal Pargana,Godda,1313551,2266,low,0.0309
JH-GUM,Gumla,JH,Jharkhand,South Chotanagpur,Gumla,1025213,5360,low,0.0241
JH-HAZ,Hazaribagh,JH,Jharkhand,North Chotanagpur,Hazaribagh,1734495,3555,low,0.0408
JH-JAM,Jamtara,JH,Jharkhand,Santhal Pargana,Jamtara,791042,1811,low,0.0186
JH-KHU,Khunti,JH,Jharkhand,South Chotanagpur,Khunti,531885,2535,low,0.0125
JH-KOD,Koderma,JH,Jharkhand,North Chotanagpur,Kodarma,716259,1655,low,0.0169
JH-LAT,Latehar,JH,Jharkhand,Palamu,Latehar,726978,4291,low,0.0171
JH-LOH,Lohardaga,JH,Jharkhand,South Chotanagpur,Lohardaga,461790,1502,low,0.0109
JH-PAK,Pakur,JH,Jharkhand,Santhal Pargana,Pakur,900422,1811,low,0.0212
JH-PAL,Palamu,JH,Jharkhand,Palamu,Medininagar,1939869,4393,low,0.0457
