unit_id,kind,district_id,unit_name,lat,lon,status,speed_profile,source
UNIT-0001,station,MH-PUN,Shikrapur-Talegoan Dhamdhere Police Staion,18.695175,74.137613,active,urban,osm
UNIT-0002,station,HR-PAN,Sector 7 Police station,30.710642,76.845480,active,semi_urban,osm
UNIT-0003,station,MH-LAT,Police Station.,18.392086,77.116489,active,rural,osm
UNIT-0004,station,MH-LAT,Police station Udgir Rural.,18.408411,77.100494,inactive,rural,osm
UNIT-0005,station,UP-BAR,पटौली सिमा सुरक्षा चौकी Police Station,27.728493,82.378660,active,rural,osm
UNIT-0006,station,UP-GON,Katra Kotwali Dist- Ayodhya Police Station,26.838539,82.231784,active,rural,osm
UNIT-0007,station,HR-PAN,Women Police Station,30.693752,76.851995,inactive,semi_urban,osm
UNIT-0008,station,HR-PAN,Police Post Sector 21,30.676643,76.863420,active,semi_urban,osm
UNIT-0009,station,HR-PAN,Police Station Sector 14,30.680162,76.847905,inactive,semi_urban,osm
UNIT-0010,station,MH-PAR,Palam Police Station,19.013115,76.951434,active,semi_urban,osm
UNIT-0011,station,MH-NAN,Homeguard police ground,19.176307,77.310355,inactive,rural,osm
UNIT-0012,station,MH-NAG,Police Station Ramtek,21.397047,79.324328,inactive,urban,osm
UNIT-0013,station,UP-JHA,Reserve Police Lines jhansi,25.447578,78.572412,active,semi_urban,osm
UNIT-0014,station,UP-JHA,Kotwali Jhansi city Police Station,25.459687,78.577104,active,semi_urban,osm
UNIT-0015,station,UP-JHA,police chowki,25.463767,78.586526,active,semi_urban,osm
UNIT-0016,station,UP-LAL,mahila police thana,24.693229,78.414497,active,rural,osm
UNIT-0017,station,UP-LAL,police station,24.692095,78.420092,active,rural,osm
UNIT-0018,station,MH-PUN,Ramwadi Police Station,18.554555,73.905636,active,urban,osm
UNIT-0019,station,MH-PUN,Yerawada Police Station,18.552799,73.895797,active,urban,osm
UNIT-0020,station,MH-PUN,Mangaldas Police Chowki,18.533987,73.878905,active,urban,osm
UNIT-0021,station,MH-PUN,Police Station – Pune,18.524308,73.878890,active,urban,osm
UNIT-0022,station,MH-PUN,Samarth Police Station,18.520318,73.869689,inactive,urban,osm
UNIT-0023,station,MH-PUN,Sant Kabir Police Station,18.514876,73.868857,active,urban,osm
UNIT-0024,station,MH-PUN,Somwar Peth Police Station सोमवार पेठ पोलिस स्टेशन,18.519568,73.862446,active,urban,osm
